"origin","destination","distance"
2,10,1583.30374674092
3,10,94.9770274142021
4,10,679.35363631811
5,10,2202.02297729622
6,10,790.687656809252
7,10,21.3656122001539
8,10,853.918130018893
9,10,990.020160761354
10,10,0
11,10,982.470856684222
12,10,1378.3896983481
13,10,508.322552767214
14,10,1322.12189206166
15,10,573.484265591336
16,10,1394.96378568609
17,10,990.020160761354
18,10,651.220870832491
19,10,0.0000459850660975032
20,10,1752.70834304106
21,10,1175.07021252425
22,10,1325.30807616208
23,10,359.409543136142
24,10,494.993267427918
25,10,1727.16946346051
26,10,359.409543136142
27,10,674.775416333488
28,10,120.195281323719
29,10,1076.77553702794
30,10,518.288198647205
31,10,1378.16472021067
32,10,653.724006387718
33,10,9.80373594551161
34,10,970.636899042464
35,10,964.715670816694
36,10,639.610442730453
37,10,1528.12203724958
38,10,1528.69852641356
39,10,1029.69018671597
40,10,1008.98674145441
41,10,841.002438106315
42,10,320.487675294454
43,10,1339.51281230883
44,10,1350.4065805554
45,10,1060.57320158471
46,10,1562.00009869211
47,10,682.086720348007
48,10,1544.35528442152
49,10,1030.6748314102
50,10,1000.7690241623
51,10,1266.02207592504
52,10,633.057776634987
53,10,1599.59290391887
54,10,591.30052402944
55,10,1092.71091498004
1,11,793.609339490321
2,11,750.280155456991
3,11,1076.78694245739
4,11,1658.7667844407
5,11,2239.09762753169
6,11,1574.03733982386
7,11,1000.89207422824
8,11,1834.49728625335
9,11,1972.20874345676
10,11,982.470856684222
11,11,0
12,11,917.581669789028
13,11,1486.54759040783
14,11,824.7577120814
15,11,1555.0721457664
16,11,805.435575659904
17,11,1972.20874345676
18,11,1633.46701164364
19,11,982.470898010093
20,11,1720.30805859078
21,11,2157.52963197188
22,11,881.116217943892
23,11,1335.21958112681
24,11,1476.387411038
25,11,859.060114721956
26,11,1335.21958112681
27,11,383.637062996724
28,11,895.88098628238
29,11,2027.472283632
30,11,465.429506254502
31,11,792.413697811751
32,11,1636.10370428344
33,11,990.176181345149
34,11,1952.42119404318
35,11,729.163376815408
36,11,437.936802579174
37,11,790.876355567318
38,11,807.873897898223
39,11,1985.59290717069
40,11,361.571762656229
41,11,1778.59909009353
42,11,1291.30500935732
43,11,1504.63159292999
44,11,828.46971378522
45,11,2037.01918417691
46,11,848.553273974373
47,11,427.504876381778
48,11,1725.1590087145
49,11,1991.64625691255
50,11,1980.47030354872
51,11,1715.93800964126
52,11,1614.57864432349
53,11,1757.23520258484
54,11,502.194017007458
55,11,428.883358794938
1,12,173.396987820933
2,12,571.615314915066
3,12,1457.37171826542
4,12,1973.94322878679
5,12,1390.77689836744
6,12,1501.09834246172
7,12,1384.91650618051
8,12,2055.75657067814
9,12,2228.45486949964
10,12,1378.3896983481
11,12,917.581669789028
12,12,0
13,12,1826.31406832722
14,12,93.3549999297528
15,12,1864.03118409378
16,12,176.592695688167
17,12,2228.45486949964
18,12,1922.93389158481
19,12,1378.38971565238
20,12,887.005226610226
21,12,2386.85110433095
22,12,53.0819412227423
23,12,1701.55045213016
24,12,1797.13968801033
25,12,698.29972497537
26,12,1701.55045213016
27,12,822.914986814749
28,12,1369.54514706458
29,12,2107.14566643347
30,12,1028.94745535576
31,12,176.137378545967
32,12,1907.82575001976
33,12,1380.08393550958
34,12,2174.82462246537
35,12,416.109921875035
36,12,820.817953436324
37,12,397.446309411036
38,12,372.587535180331
39,12,2085.06503736882
40,12,563.902657650122
41,12,1868.32688089214
42,12,1676.02104004582
43,12,870.075765781276
44,12,100.716458876959
45,12,2206.3394093574
46,12,371.091241494176
47,12,1231.28550302817
48,12,1036.79206744227
49,12,2105.07702356225
50,12,2177.60963640642
51,12,1260.96237455744
52,12,1874.0551731082
53,12,1043.71544193875
54,12,1255.53705075151
55,12,488.698331179622
1,13,1848.78692284221
